gene_id,SRR18885340,SRR18885341,SRR18885342,SRR18885343,SRR18885344,SRR18885345,SRR18885346,SRR18885347,SRR18885348,SRR18885349,SRR18885350,SRR18885351
ENSG00000287828.1|ENSG00000287828,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000286518.1|ENSG00000286518,0,0,5,0,0,0,0,0,0,1,0,0
ENSG00000130762.15|ARHGEF16,820,973,723,757,1093,869,780,840,1526,1316,1506,1444
ENSG00000207776.1|MIR551A,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272088.1|ENSG00000272088,2,3,0,3,3,2,6,0,10,5,1,10
ENSG00000162591.17|MEGF6,1472,1720,1782,1238,1921,1548,1629,1250,1798,1579,2051,1571
ENSG00000238260.3|ENSG00000238260,14,14,19,24,22,34,0,27,34,11,37,48
ENSG00000158109.15|TPRG1L,2995,4799,3949,3581,4526,4742,3650,4353,5885,6492,5232,5920
ENSG00000116213.16|WRAP73,1326,1518,1574,1316,1734,1509,1509,1412,1536,1140,1348,1298
ENSG00000078900.15|TP73,71,61,32,32,81,40,63,67,83,66,80,47
ENSG00000227589.1|TP73-AS3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235131.1|TP73-AS2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276189.1|ENSG00000276189,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227372.12|TP73-AS1,1213,1560,1255,1276,1695,1641,1218,1430,1331,1331,1647,1283
ENSG00000162592.10|CCDC27,0,2,4,0,4,16,0,3,0,0,2,0
ENSG00000235169.11|SMIM1,33,30,39,18,28,20,22,30,92,35,30,28
ENSG00000266075.2|RN7SL574P,0,2,3,0,2,10,0,3,5,0,0,0
ENSG00000130764.10|LRRC47,4215,5485,4774,4299,5528,4861,4793,4793,4662,4408,5080,4327
ENSG00000272153.1|ENSG00000272153,55,72,49,45,43,87,40,71,40,54,93,39
ENSG00000116198.14|CEP104,3193,3554,3902,3302,3880,3441,3697,3785,4050,3166,4002,3592
ENSG00000169598.17|DFFB,311,466,515,344,517,260,306,296,454,426,413,379
ENSG00000198912.12|C1orf174,1517,2602,1993,1865,2150,1999,1948,1820,1342,1476,1688,1224
ENSG00000236423.8|LINC01134,18,23,37,16,22,20,26,28,57,32,8,15
ENSG00000069424.16|KCNAB2,1270,1539,1306,1221,1533,1380,1361,1393,2046,1757,1968,1911
ENSG00000131697.18|NPHP4,1434,1819,1425,1379,1921,1775,1595,1612,1958,2100,2187,1801
ENSG00000116254.18|CHD5,122,278,209,113,120,171,121,145,404,417,323,334
ENSG00000285629.1|ENSG00000285629,571,560,507,447,657,683,503,419,558,562,707,416
ENSG00000116251.11|RPL22,25018,29141,25979,23792,34360,28938,25278,25375,28938,24250,29291,23435
ENSG00000226944.1|RNF207-AS1,28,33,20,23,50,37,24,35,75,19,40,34
ENSG00000158286.13|RNF207,780,1895,1453,1403,1300,1718,1647,1625,1185,1636,2034,1780
ENSG00000116237.16|ICMT,12235,15764,12963,12863,15891,13259,12054,13524,6892,6349,9062,6116
ENSG00000225077.3|ICMT-DT,17,67,77,56,73,50,58,30,38,34,110,43
ENSG00000158292.7|GPR153,436,413,299,305,317,349,291,286,269,260,327,227
ENSG00000097021.21|ACOT7,5618,5597,5724,4915,7343,5225,5246,4877,7753,5812,7720,5652
ENSG00000271746.1|ENSG00000271746,0,13,5,7,0,5,3,9,18,15,8,4
ENSG00000069812.11|HES2,147,102,116,95,125,45,90,94,165,29,139,110
ENSG00000187017.18|ESPN,34,0,0,0,31,28,9,17,29,4,11,10
ENSG00000265392.1|MIR4252,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231868.1|ENSG00000231868,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215788.11|TNFRSF25,60,236,175,177,136,220,185,135,228,343,355,284
ENSG00000171680.23|PLEKHG5,431,1041,768,679,457,527,657,539,806,1202,1319,995
ENSG00000253022.1|RNU6-731P,0,0,0,0,0,2,2,0,0,2,2,0
ENSG00000162408.11|NOL9,1955,2985,2574,2404,2586,3296,2655,2679,1963,2120,2479,2079
ENSG00000229519.2|ENSG00000229519,2,13,6,3,7,16,1,1,3,2,8,2
ENSG00000173662.21|TAS1R1,14,0,0,0,0,0,0,0,8,2,0,0
ENSG00000204859.13|ZBTB48,650,964,745,764,997,725,695,763,1007,766,963,726
ENSG00000162413.17|KLHL21,1600,3173,3115,2941,2464,3340,3224,3390,2102,3120,3011,2874
ENSG00000116273.6|PHF13,1769,2387,1700,1817,2446,2076,1598,2071,2117,2084,2042,1967
ENSG00000041988.16|THAP3,705,953,1018,793,949,868,804,710,817,786,869,697
ENSG00000007923.17|DNAJC11,5266,7987,6842,6318,7964,8229,6857,6785,6605,6840,7451,6197
ENSG00000237436.1|CAMTA1-DT,13,26,12,18,15,10,15,21,7,14,8,20
ENSG00000171735.20|CAMTA1,2063,2601,1977,2183,2719,2575,2159,2446,2544,2229,2171,2122
ENSG00000227950.1|ENSG00000227950,0,0,0,0,0,0,0,1,0,3,0,0
ENSG00000237365.1|ENSG00000237365,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207056.1|RNU1-8P,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237402.1|CAMTA1-IT1,0,0,0,0,3,0,0,0,0,1,0,0
ENSG00000237728.2|CAMTA1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225126.1|CAMTA1-AS1,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000270171.1|ENSG00000270171,0,0,0,0,5,0,0,0,0,0,3,0
ENSG00000270035.1|ENSG00000270035,0,0,0,0,0,3,0,0,7,2,0,0
ENSG00000269978.1|ENSG00000269978,1,0,0,9,5,7,0,5,0,0,0,0
ENSG00000049245.13|VAMP3,7762,10270,8896,8549,10693,9520,8343,9730,10080,9754,10341,9873
ENSG00000269925.1|ENSG00000269925,13,19,35,5,25,13,6,14,12,7,10,13
ENSG00000049246.15|PER3,354,552,441,386,336,370,278,330,356,238,250,218
ENSG00000049247.14|UTS2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236266.1|ENSG00000236266,4,6,10,8,0,6,0,0,0,0,3,0
ENSG00000049249.10|TNFRSF9,54,436,492,437,69,433,462,426,241,1520,1324,1581
ENSG00000116288.13|PARK7,16308,18922,17032,16343,21049,16933,15784,16270,17784,15225,18978,15249
ENSG00000200344.1|Y_RNA,1,3,1,0,0,0,2,1,3,0,0,0
ENSG00000284716.1|ENSG00000284716,0,2,0,0,10,0,0,8,0,11,11,2
ENSG00000116285.13|ERRFI1,19991,10456,15692,10244,24625,10285,14613,11256,11242,5422,10986,6714
ENSG00000284747.1|ENSG00000284747,100,61,99,27,120,48,93,76,114,64,118,56
ENSG00000232848.1|RPL7AP18,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238290.1|ERRFI1-DT,3,7,9,4,15,14,9,0,10,0,0,13
ENSG00000200975.1|RNU1-7P,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227634.3|LINC01714,9,0,0,0,6,0,3,0,0,0,0,0
ENSG00000252254.1|Y_RNA,0,2,2,0,0,0,2,0,0,0,0,0
ENSG00000162426.16|SLC45A1,685,246,302,254,756,218,269,275,848,352,640,376
ENSG00000142599.20|RERE,6744,6442,5837,5370,8152,6230,5607,6366,7570,6535,7124,6282
ENSG00000221083.1|ENSG00000221083,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000270282.1|ENSG00000270282,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224315.2|RPL7P7,0,0,1,2,0,0,4,0,0,0,1,0
ENSG00000226545.1|ENSG00000226545,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000228423.2|ENSG00000228423,0,0,6,0,0,4,0,0,0,0,0,0
ENSG00000232912.6|RERE-AS1,7,0,0,0,0,3,2,0,0,0,3,0
ENSG00000234619.1|RPL7P11,3,1,0,2,0,0,1,1,0,0,1,0
ENSG00000222511.2|Y_RNA,2,0,2,0,1,0,0,0,0,0,0,0
ENSG00000201725.1|RNU6-304P,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000238249.2|HMGN2P17,0,0,0,0,0,0,8,1,3,8,2,8
ENSG00000074800.16|ENO1,194442,245759,209418,194785,240539,200736,186438,195460,209530,180894,210439,175549
ENSG00000274258.1|MIR6728,9,9,7,0,7,8,6,6,7,0,7,8
ENSG00000230679.1|ENO1-AS1,27,47,41,24,43,37,24,37,64,33,16,35
ENSG00000232208.2|ENSG00000232208,25,15,26,20,20,11,1,32,27,14,35,10
ENSG00000197241.4|SLC2A7,21,0,0,0,12,7,0,6,19,10,7,9
ENSG00000142583.18|SLC2A5,16,12,3,5,19,0,0,0,4,22,14,9
ENSG00000180758.12|GPR157,1774,1813,1638,1498,2127,1563,1447,1633,1874,1655,1367,1686
ENSG00000289914.1|ENSG00000289914,0,3,3,0,1,6,4,0,0,4,9,8
ENSG00000228526.8|MIR34AHG,453,966,676,811,927,956,769,994,855,986,863,854
ENSG00000284357.1|MIR34A,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000234546.5|LNCTAM34A,76,37,71,55,129,80,106,88,113,77,95,60
ENSG00000049239.13|H6PD,6265,4575,4007,4938,9280,4931,4908,6747,5386,3143,4023,3880
ENSG00000171621.14|SPSB1,1987,3093,2750,2674,1567,1655,1592,1709,2601,3685,3184,3271
ENSG00000284693.2|LINC02606,21,26,18,41,4,8,26,10,56,37,38,33
ENSG00000252956.1|RNA5SP40,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171612.7|SLC25A33,944,1366,1408,1374,1046,1058,991,1120,1373,1359,1368,1342
ENSG00000231181.1|ENSG00000231181,13,6,8,0,3,13,0,5,0,7,10,13
ENSG00000188807.13|TMEM201,1245,2512,1885,1923,1849,2344,1745,1865,1264,1603,1956,1435
ENSG00000171608.18|PIK3CD,1093,1800,1494,1252,1282,1391,1222,1322,1343,2357,1887,1715
ENSG00000179840.5|PIK3CD-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233268.3|ENSG00000233268,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271264.1|MZT1P1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280113.2|ENSG00000280113,0,0,0,0,0,0,0,4,0,0,0,1
ENSG00000223989.1|ENSG00000223989,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178585.15|CTNNBIP1,1732,1508,1179,1304,2242,1731,1384,1734,1732,1498,1390,1345
ENSG00000285701.1|ENSG00000285701,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231789.4|PIK3CD-AS2,185,88,141,120,239,84,105,153,247,74,89,93
ENSG00000171603.18|CLSTN1,19450,19683,18612,17374,28467,22010,20710,23494,22908,19902,21603,19205
